County_of_Origin,Period,GenderDescription,AgeClassDescription,Avg_BusUsers_Daily_County_of_Transportation,County_of_Transportation,County_of_Origin_Purchasing_Power_Per_Capita,County_of_Transportation_Purchasing_Power_Per_Capita,percent_dif_OD_PPPC
loures,Sep-19 to Feb-20,Male,25-34,110.9864814,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Male,35-44,427.3003228,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Male,45-54,730.6711194000001,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Male,55-64,1987.138682,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,15-24,493.36512630000004,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,25-34,520.1124853,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,35-44,344.1013088,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,45-54,318.3328324,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,55-64,937.8020605,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Female,65+,663.2924115000001,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Male,15-24,263.0797584,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Male,25-34,58.24426859,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Male,35-44,308.86660839999996,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Male,45-54,789.9325987999999,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-20 to Jan-21,Male,55-64,849.9081363,lisboa,92.3,219.6,1.3791982665222102
mafra,Sep-19 to Feb-20,Female,15-24,379.55339100000003,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Female,25-34,119.93509509999998,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Female,35-44,1594.096368,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Female,45-54,245.6935332,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,15-24,115.396302,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,25-34,426.66155489999994,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,35-44,22.79239008,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,45-54,164.0783961,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,55-64,270.2824002,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-19 to Feb-20,Male,65+,1200.663832,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Female,15-24,232.43458540000003,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Female,25-34,98.23435964,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Female,35-44,678.2417785,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Female,45-54,105.429423,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Male,25-34,24.01673453,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Male,45-54,138.89758769999997,lisboa,96.3,219.6,1.280373831775701
mafra,Sep-20 to Jan-21,Male,55-64,228.3780551,lisboa,96.3,219.6,1.280373831775701
maia,Sep-19 to Feb-20,Female,15-24,5.212703321,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Female,25-34,23.24322335,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Female,35-44,2.660638412,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Female,45-54,8.906143112,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Female,55-64,0.543238071,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Female,65+,15.54194997,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Male,15-24,6.180075014,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Male,35-44,11.05484154,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Male,45-54,6.6804041110000005,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Male,55-64,25.89405617,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-19 to Feb-20,Male,65+,423.36861600000003,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,15-24,5.01323216,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,25-34,7.005341258,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,35-44,1.5171280390000002,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,45-54,13.17831955,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,55-64,4.532877617,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Female,65+,33.74815044,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,15-24,2.383274114,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,25-34,16.42407863,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,35-44,9.646337526,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,45-54,1.009941128,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,55-64,23.48878368,lisboa,110.7,219.6,0.9837398373983739
maia,Sep-20 to Jan-21,Male,65+,93.96621744,lisboa,110.7,219.6,0.9837398373983739
matosinhos,Sep-19 to Feb-20,Female,25-34,5.165547882,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Female,35-44,0.630908492,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Female,45-54,6.784238016000001,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Female,55-64,12.89152813,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Male,15-24,1.695987243,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Male,35-44,1.208246495,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Male,45-54,5.023030651,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-19 to Feb-20,Male,55-64,1.6953446030000001,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,15-24,0.765564128,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,25-34,1.06667294,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,35-44,1.2652707559999998,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,45-54,2.146812511,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,55-64,5.977793331,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Female,65+,3.3906031910000003,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,15-24,0.619904372,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,25-34,0.23088429800000002,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,35-44,0.8882659270000001,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,45-54,4.042603562,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,55-64,4.128671958,lisboa,123.0,219.6,0.7853658536585365
matosinhos,Sep-20 to Jan-21,Male,65+,2.599633934,lisboa,123.0,219.6,0.7853658536585365
moita,Sep-19 to Feb-20,Female,15-24,25.00414293,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-19 to Feb-20,Female,35-44,1120.20718,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-19 to Feb-20,Female,45-54,250.0906941,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-19 to Feb-20,Male,15-24,409.0269698,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-19 to Feb-20,Male,45-54,333.22477389999995,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-19 to Feb-20,Male,55-64,16.93659643,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Female,15-24,46.23251563,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Female,25-34,237.5921554,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Female,35-44,406.14912400000003,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Female,45-54,215.1055567,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Male,25-34,633.921966,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Male,45-54,52.3721755,lisboa,82.0,219.6,1.6780487804878048
moita,Sep-20 to Jan-21,Male,55-64,12.47959737,lisboa,82.0,219.6,1.6780487804878048
montijo,Sep-19 to Feb-20,Female,35-44,64.3769501,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-19 to Feb-20,Female,45-54,33.01292356,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-19 to Feb-20,Male,25-34,591.7145481000001,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-19 to Feb-20,Male,35-44,213.6974662,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-19 to Feb-20,Male,45-54,734.5374647000001,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-19 to Feb-20,Male,55-64,220.31099210000002,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Female,25-34,51.16039256,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Female,35-44,312.0996261,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Female,45-54,23.80689441,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Male,25-34,128.64335069999998,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Male,35-44,225.52103709999997,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Male,45-54,541.2809083,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Male,55-64,132.74635220000002,lisboa,99.2,219.6,1.2137096774193548
montijo,Sep-20 to Jan-21,Male,65+,47.25747323,lisboa,99.2,219.6,1.2137096774193548
odivelas,Sep-19 to Feb-20,Female,15-24,933.6311410000001,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Female,25-34,446.350625,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Female,35-44,632.1544325,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Female,45-54,1667.36331,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Female,55-64,789.1557851,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Male,25-34,1359.1474380000002,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Male,35-44,1627.762707,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Male,45-54,1972.459082,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Male,55-64,1963.849637,lisboa,89.3,219.6,1.4591265397536395
odivelas,Sep-19 to Feb-20,Male,65+,5259.93143,lisboa,89.3,219.6,1.4591265397536395
